Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x000000001a7856a0      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\HdAudio.sys
0x000000001a84e248      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\upnphost.dll.mui
0x000000001a84e778      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wdmaud.drv
0x000000001a84e990      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\en-US\volmgrx.sys.mui
0x000000001a84eb10      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\vds.exe.mui
0x000000001a84ec88      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\TsUsbFlt.sys
0x000000001a9a05a0      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wkscli.dll
0x000000001a9a0658      2      0 R--r-- \Device\HarddiskVolume1\Windows\ServiceProfiles\LocalService\AppData\Local\Microsoft\Windows\Bluetooth\bthservsdp.dat
0x000000001a9a0840      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\samcli.dll
0x000000001a9a0a68      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\l_intl.nls
0x000000001b132130      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\crashdmp.sys
0x000000001b132570      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\vmrawdsk.sys
0x000000001b1a33a0     17      0 RW-rwd \Device\HarddiskVolume1\$BitMap
0x000000001b1a3d60      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000001b4b91a8      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\rdbss.sys
0x000000001b4f4ca8      1      1 ------ \Device\Afd\Endpoint
0x000000001b60d0d8      1      1 ------ \Device\Afd\Endpoint
0x000000001b60d310      1      1 ------ \Device\Afd\Endpoint
0x000000001b60d3c8      1      1 ------ \Device\Afd\Endpoint
0x000000001b60d580      1      1 ------ \Device\Afd\Endpoint
0x000000001b60d9c0      1      1 ------ \Device\Afd\Endpoint
0x000000001b647638      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001b647978     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001b647cb0     10      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001b647f80      1      1 ------ \Device\Afd\Endpoint
0x000000001b99b2c0      1      1 R----- \Device\HarddiskVolume1\System Volume Information\{c3ed231a-a9a7-11ed-8c45-50eb71124999}{3808876b-c176-4e48-b7ae-04046e6cc752}
0x000000001b99b3b8      1      0 R--r-- \Device\HarddiskVolume1\ProgramData\Microsoft\MF\Active.GRL
0x000000001bc6f1d0     15      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\lsi_sas.sys
0x000000001bc6f8d0     16      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001bcbd408      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\rasadhlp.dll
0x000000001bcbd6e8      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001bf69e70      1      1 ------ \Device\NamedPipe\MsFteWds
0x000000001c0a9600      6      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-Diagnostics-Performance%4Operational.evtx
0x000000001c183790     11      0 R--rwd \Device\HarddiskVolume1\Program Files\Process Hacker 2\plugins\SbieSupport.dll
0x000000001c1b58b0      1      1 ------ \Device\Afd\Endpoint
0x000000001c1b5978      8      0 R--rw- \Device\HarddiskVolume1\Users\0xSh3rl0ck\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Private Character Editor.lnk
0x000000001c1b5f18      1      1 ------ \Device\Afd\Endpoint
0x000000001c1be228      8      0 R--r-- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\DRM\v3ks.bla
0x000000001c1bebc0      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\twext.dll
0x000000001c1bef80      7      0 RW-rw- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\DRM\drmstore.hds
0x000000001c487a90     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001c487c68     13      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\System.evtx
0x000000001c52d028      1      1 RW-rwd \Device\clfs\SystemRoot\System32\Config\TxR\{6cced301-6e01-11de-8bed-001e0bcd1824}.TM
0x000000001c52d840      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\Diskdump.sys
0x000000001c52db40      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\drivers\watchdog.sys
0x000000001c5d0088     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\HardwareEvents.evtx
0x000000001c5d0208     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Internet Explorer.evtx
0x000000001c5d0c98     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Key Management Service.evtx
0x000000001c8386b8      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wbem\WmiPrvSE.exe
0x000000001c838970      1      1 ------ \Device\Afd\Endpoint
0x000000001c838b90      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\user32.dll.mui
0x000000001c904028      1      1 R----- \Device\HarddiskVolume1\System Volume Information\{3808876b-c176-4e48-b7ae-04046e6cc752}
