Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x00000000096800a8      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\access.cpl
0x00000000096801a8      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\Restore\rstrui.exe
0x00000000096811d8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x0000000009681f90      1      1 ------ \Device\Afd\Endpoint
0x0000000009685bd0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x00000000096861f8      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x0000000009686978      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\netsetup.cpl
0x0000000009687e58      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\wscui.cpl
0x000000000968b4d0      3      2 ------ \Device\RawIp\255
0x000000000968b568      1      1 ------ \Device\Afd\Endpoint
0x000000000968ba90      1      1 ------ \Device\Afd\Endpoint
0x000000000968dab0      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\All Users\Start Menu\desktop.ini
0x000000000968dba8      1      0 ------ \Device\KSENUM#00000002\{9B365890-165F-11D0-A195-0020AFD156E4}
0x000000000968e170      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\sens.dll
0x000000000968e9d8      3      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\system32\wbem\Repository\FS\MAPPING1.MAP
0x000000000968eb50      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\firewall.cpl
0x0000000009692ba0      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\shell32.dll
0x0000000009692e58      1      0 R--r-d \Device\HarddiskVolume1\WINDOWS\system32\wuaucpl.cpl
0x00000000096931a0      1      0 R--r-- \Device\HarddiskVolume1\WINDOWS\system32\hdwwiz.cpl
0x00000000096932a0      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\syncui.dll
0x00000000096939d0      1      0 R--rw- \Device\HarddiskVolume1\Program Files\MSN Gaming Zone\Windows\chkrzm.exe
0x0000000009693d80      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x0000000009693e58      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x0000000009694790      2      1 ------ \Device\Afd\Endpoint
0x0000000009694828      1      0 R--rw- \Device\HarddiskVolume1\WINDOWS\system32\zipfldr.dll
0x0000000009695328      1      1 ------ \Device\Afd\Endpoint
0x0000000009699e58      1      0 RW-rw- \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\Recent\Key.lnk
0x000000000969a360      1      1 RW-r-- \Device\HarddiskVolume1\WINDOWS\SoftwareDistribution\ReportingEvents.log
0x000000000969b3f0      1      1 ------ \Device\NamedPipe\W32TIME
0x000000000969b778      2      1 ------ \Device\NamedPipe\W32TIME
0x000000000969c738      1      1 RW-rw- \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\Local Settings\Temporary Internet Files\Content.IE5\index.dat
0x000000000969faa0      1      0 R--r-d \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\Desktop\dumpit-moonsols\DumpIt.exe
0x000000000969fba0      1      0 R--rwd \Device\HarddiskVolume1\Documents and Settings\CyberDefenders\Local Settings\History\desktop.ini
0x000000000969fe28      1      1 ------ \Device\Afd\Endpoint
0x00000000096a05b8      1      0 -W-r-- \Device\HarddiskVolume1\WINDOWS\Debug\UserMode\userenv.log
0x00000000096a0650      1      0 -W-r-d \Device\HarddiskVolume1\WINDOWS\system32\wbem\Logs\wbemess.log
0x00000000096a0f20      1      0 R--rwd \Device\HarddiskVolume1\WINDOWS\system32\vdmdbg.dll
0x00000000096a2dc8      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000096a2e60      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000096a2ef8      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000096a2f90      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
0x00000000096a32c0      1      1 R--rw- \Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83
0x00000000096a3368      3      0 RWD--- \Device\HarddiskVolume1\$Directory
0x00000000096a4d18      2      1 ------ \Device\NamedPipe\srvsvc
0x00000000096a6cb8      2      1 ------ \Device\NamedPipe\trkwks
0x00000000096a9f90      1      1 RW-rw- \Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log
