2015-10-09 12:53:02 UTC+0000|[LIVE RESPONSE]| (System time)|
2015-10-09 11:39:22 UTC+0000|[PROCESS]| cmd.exe| PID: 3784/PPID: 2196/POffset: 0x3fdb3d40
2009-07-14 04:37:09 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\VERSIONS| cmd.exe PID: 3784/PPID: 2196/POffset: 0x3fdb3d40
2015-10-09 10:48:49 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER| cmd.exe PID: 3784/PPID: 2196/POffset: 0x3fdb3d40
2015-10-09 11:30:48 UTC+0000|[Handle (Key)]| MACHINE| cmd.exe PID: 3784/PPID: 2196/POffset: 0x3fdb3d40
2015-10-09 06:33:42 UTC+0000|[Handle (Key)]| USER\S-1-5-21-3895137123-2247182511-262457817-500| cmd.exe PID: 3784/PPID: 2196/POffset: 0x3fdb3d40
2015-10-09 06:33:42 UTC+0000|[Handle (Key)]| USER\S-1-5-21-3895137123-2247182511-262457817-500\CONTROL PANEL\INTERNATIONAL| cmd.exe PID: 3784/PPID: 2196/POffset: 0x3fdb3d40
2009-07-14 04:37:09 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LOCALE| cmd.exe PID: 3784/PPID: 2196/POffset: 0x3fdb3d40
2009-07-14 04:37:09 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LOCALE\ALTERNATE SORTS| cmd.exe PID: 3784/PPID: 2196/POffset: 0x3fdb3d40
2009-07-14 04:37:09 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LANGUAGE GROUPS| cmd.exe PID: 3784/PPID: 2196/POffset: 0x3fdb3d40
2015-10-09 06:33:42 UTC+0000|[Handle (Key)]| USER\S-1-5-21-3895137123-2247182511-262457817-500\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION| cmd.exe PID: 3784/PPID: 2196/POffset: 0x3fdb3d40
2015-10-09 06:00:17 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\APPCOMPATFLAGS| cmd.exe PID: 3784/PPID: 2196/POffset: 0x3fdb3d40
2015-10-09 05:37:20 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\IMAGE FILE EXECUTION OPTIONS| cmd.exe PID: 3784/PPID: 2196/POffset: 0x3fdb3d40
2009-07-13 23:22:06 UTC+0000|[PE HEADER (exe)]| cmd.exe| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x4a7a0000
-|[PE DEBUG]| cmd.exe| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x4a7a0000
1970-01-01 00:00:00 UTC+0000|[DLL LOADTIME (exe)]| cmd.exe| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x4a7a0000
2009-07-14 01:09:47 UTC+0000|[PE HEADER (dll)]| ntdll.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x76f80000
-|[PE DEBUG]| ntdll.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x76f80000
1970-01-01 00:00:00 UTC+0000|[DLL LOADTIME (dll)]| ntdll.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x76f80000
2009-07-14 01:11:21 UTC+0000|[PE HEADER (dll)]| WINBRAND.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x73990000
-|[PE DEBUG]| WINBRAND.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x73990000
2015-10-09 11:39:22 UTC+0000|[DLL LOADTIME (dll)]| WINBRAND.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x73990000
2009-07-14 01:07:53 UTC+0000|[PE HEADER (dll)]| MSCTF.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x770e0000
-|[PE DEBUG]| MSCTF.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x770e0000
2015-10-09 11:39:22 UTC+0000|[DLL LOADTIME (dll)]| MSCTF.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x770e0000
2009-07-14 01:09:01 UTC+0000|[PE HEADER (dll)]| kernel32.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x76ea0000
-|[PE DEBUG]| kernel32.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x76ea0000
2015-10-09 11:39:22 UTC+0000|[DLL LOADTIME (dll)]| kernel32.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x76ea0000
2009-07-14 01:05:33 UTC+0000|[PE HEADER (dll)]| GDI32.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x75bb0000
-|[PE DEBUG]| GDI32.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x75bb0000
2015-10-09 11:39:22 UTC+0000|[DLL LOADTIME (dll)]| GDI32.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x75bb0000
2009-07-14 01:11:14 UTC+0000|[PE HEADER (dll)]| USP10.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x758b0000
2009-07-13 23:25:41 UTC+0000|[PE DEBUG]| USP10.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x758b0000
2015-10-09 11:39:22 UTC+0000|[DLL LOADTIME (dll)]| USP10.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x758b0000
2009-07-14 01:06:15 UTC+0000|[PE HEADER (dll)]| IMM32.DLL| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x770c0000
-|[PE DEBUG]| IMM32.DLL| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x770c0000
2015-10-09 11:39:22 UTC+0000|[DLL LOADTIME (dll)]| IMM32.DLL| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x770c0000
2009-07-14 01:04:54 UTC+0000|[PE HEADER (dll)]| apphelp.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x74fd0000
-|[PE DEBUG]| apphelp.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x74fd0000
2015-10-09 11:39:45 UTC+0000|[DLL LOADTIME (dll)]| apphelp.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x74fd0000
2009-07-14 01:09:02 UTC+0000|[PE HEADER (dll)]| KERNELBASE.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x751e0000
-|[PE DEBUG]| KERNELBASE.dll| Process: cmd.exe/PID: 3784/PPID: 2196/Process POffset: 0x3fdb3d40/DLL Base: 0x751e0000
